minor_name,minor_reqs
Asian Studies (Minor),"Requirement 1 — Complete 1 Course
HIST 231 - Intro to East Asian History 3.0
Requirement 2 — Complete 1 of 4 Options
Note: 8 hours of another Asian language may be substituted for this requirement with faculty coordinator approval. See Kennedy Center Advisement (273 HRCB) for further details.
Option 2.1 — Complete 4 Courses
CHIN 101 - Beginning Mandarin 4.0
CHIN 102 - Beginning Mandarin 4.0
CHIN 201 - Intermediate Mandarin 4.0
CHIN 202 - Intermediate Mandarin 4.0
Option 2.2 — Complete 4 Courses
JAPAN 101 - 1st-Year Japanese 4.0
JAPAN 102 - 1st-Year Japanese 4.0
JAPAN 201 - Second-Year Japanese 4.0
JAPAN 202 - Second-Year Japanese 4.0
Option 2.3 — Complete 4 Courses
KOREA 101 - First-Year Korean 1 4.0
KOREA 102 - First-Year Korean 2 4.0
KOREA 201 - Second-Year Korean 1 4.0
KOREA 202 - Second-Year Korean 2 4.0
Option 2.4 — Complete 1 of 11 Courses
CEBU 330 - Adv Lang & Cult: Cebuano 3.0
CHIN 301 - Advanced Mandarin 4.0
HMONG 330 - Adv Lang & Cult: Hmong 3.0
INDON 330 - Adv Lang & Cult: Indonesian 3.0
JAPAN 301 - Japanese Reading & Culture 4.0
KHMER 330 - Adv Lang & Cult: Khmer 3.0
KOREA 301 - Third-Year Korean 1 4.0
MONGO 330 - Adv Lang & Cult: Mongolian 3.0
TAGAL 330 - Adv Lang & Cult: Tagalog 3.0
THAI 330 - Adv Lang & Cult: Thai 3.0
VIET 330 - Adv Lang & Cult: Vietnamese 3.0
Requirement 3 — Complete 8 hours
Note: Study Abroad / Internship credit is also applicable.
Option 3.1 — Complete up to 3 hours
ANTHR 341 - Ethnonationalism and SE Asia 3.0
ANTHR 343 - Chinese Culture & Society 3.0
Option 3.2 — Complete up to 3 hours
ARTHC 203 - Asian Art Survey 3.0
Option 3.3 — Complete up to 3 hours
Option 3.3.1 — Complete up to 3 hours
Classes in translation
CHIN 342 - Chinese Film in Translation 3.0
CHIN 343 - Chin Lit inTranslation--Poetry 3.0
CHIN 344 - Chin Lit inTranslation-Prose 3.0
CHIN 345R - Chinese Culture - You may take once 3.0
CHIN 346 - Chinese Philosophy 3.0
JAPAN 345 - Japanese Culture 3.0
JAPAN 350 - Lit in Tran: 8th-16th Century 3.0
JAPAN 351 - Lit in Tran: 17th-19th Century 3.0
JAPAN 352 - Lit in Translation: Modern Era 3.0
KOREA 340 - Korean Literature to 1900 3.0
KOREA 345 - Korean Culture 3.0
KOREA 346 - North Korean Lang. & Culture 2.0
Option 3.3.2 — Complete up to 3 hours
Classes not taught in English
CHIN 441 - Classical & Literary Chinese 3.0
CHIN 442 - Classical & Literary Chinese 3.0
CHIN 443 - Modern Chinese Literature 3.0
JAPAN 441 - Intro to Classical Japanese 3.0
JAPAN 444 - Toward Superior Japanese: Lit 3.0
JAPAN 445 - Christianity in Japanese Lit - This course is no longer available for registration and will count only if you completed it while it was offered. Please see your college advisement center for possible substitutions. 3.0
KOREA 315 - Sino-Korean Character Workshop 3.0
KOREA 441 - Classical Korean (Hanmun) 3.0
KOREA 443 - Korean Literature after 1900 3.0
Option 3.4 — Complete up to 3 hours
GEOG 272 - East Asia 3.0
Option 3.5 — Complete up to 3 hours
HIST 337 - Pre-modern Korea 3.0
HIST 338 - Modern Korea 3.0
HIST 340 - Traditional China 3.0
HIST 341 - China Since 1200 3.0
HIST 343 - Early Japan 3.0
HIST 344 - Modern Japan 3.0
HIST 347 - Chinese Cultural History 3.0
HIST 348 - Modern Southeast Asia 3.0
HIST 349 - Asian Religion & Thought 3.0
Option 3.6 — Complete up to 3 hours
ASIAN 342 - Asian Lit Trads 3.0
IHUM 241 - Humanities of East Asia 3.0
IHUM 243 - Humanities of South Asia 3.0
Option 3.7 — Complete up to 3 hours
MUSIC 203 - World Music Cultures 3.0
MUSIC 336R - Balinese Gamelan - You may take once 1.0
Option 3.8 — Complete up to 3 hours
POLI 346 - Southeast Asian Politics 3.0
POLI 348 - Government & Politics of Asia 3.0
POLI 353 - China: Government & Politics 3.0
POLI 385 - Intrntl Relations of Asia 3.0
Option 3.9 — Complete up to 3 hours
IAS 300 - Prof Dev International Studies 1.0
IAS 301R - KC Lecture Series - You may take once 1.0
IAS 302R - International Studies Seminar - You may take once 1.0v
REL C 358 - Survey of Eastern Religions 2.0"
Astronomy (Minor),"No D credit may count toward this minor.
Requirement 1 — Complete 6 Courses
MATH 113 - Calculus 2 4.0
PHSCS 121 - Intro to Newtonian Mechanics 3.0
PHSCS 127 - Descriptive Astronomy 3.0
PHSCS 227 - Solar System Astronomy 3.0
PHSCS 228 - Stars & Galaxies 3.0
PHSCS 329 - Observational Astronomy 3.0"
Ballet (Minor),"A minimum of 8 credit hours must be completed in residency at BYU for this minor program.
Requirement 1 — Complete 5 hours
DANCE 396- Methods of Teaching Ballet 2.0
DANCE 397R - Ballet Choreography - You may take once 2.0
DANCE 495R - Pas de Deux - You may take once 1.0
Requirement 2 — Complete 2 hours
DANCE 398R - Theatre Ballet Studio Company - You may take once 3.0
DANCE 498R - Theatre Ballet- You may take once 3.0
Requirement 3 — Complete 1 hour
DANCE 234 - Pilates 1.0v
DANCE 294R - Ballet Technique, Men - You may take once 1.5
DANCE 392R - Ballet Pointe 1 - You may take once 1.0
DANCE 393R  -Ballet Pointe 2 –You may take once 1.0
DANCE 494R - Ballet Pointe/Variations - You may take 2 times 0.5
Requirement 4 — Complete 7.5 hours
DANCE 291R - Ballet Technique 2 - You may take 3 times 2.5
DANCE 390R- Ballet Technique 3 - You may take 3 times 1.5v
DANCE 391R - Ballet Technique 4 - You may take 3 times 3.0
DANCE 490R - Ballet Technique 5 - You may take 3 times 3.0
Note: A higher-level technique course may substitute for a lower level course with department approval."
Ballroom Dance (Minor),"The Dance Department requires a minimum of 10 hours to be completed in residency at BYU for this minor program. These hours may also go toward BYU's 30-hour residency requirement for graduation.
Requirement 1 — Complete 5 Courses
DANCE 280 - Social Dance, Technique 1 1.0
DANCE 284 - Ballroom Dnce, Intl Tech 1 1.0
DANCE 285 - Latin Dance, Intl Tech 1 1.0
DANCE 387 - Ballroom Dance Choreography 2.0
DANCE 489R - Preparation for Bllrm Comptitn - You may take once 1.0
Requirement 2 — Complete 1 of 3 Courses
DANCE 386 - Methods of Tchg Social Dance 2.0
DANCE 486 - Theory & Not of Intl Ballroom 2.0
DANCE 487 - Theory & Not of Intl Latin Dnc 2.0
Requirement 3 — Complete 5 hours
No more than 3 hours may be completed from each of the listed R technique courses.
DANCE 380R - Social Dance, Advanced - You may take up to 3.0 credit hours 1.0
DANCE 382R - Ballroom Dnce, Intl Tech 2 - You may take up to 3.0 credit hours 1.0
DANCE 383R - Latin Dance, Intl Tech 2 - You may take up to 3.0 credit hours 1.0
DANCE 384R - Ballroom Dnc, Intl Tech 3 - You may take up to 3.0 credit hours 1.0
DANCE 385R - Latin Dance, Intl Tech 3 - You may take up to 3.0 credit hours 1.0
DANCE 480R - Social Dance, Technique 3 - You may take up to 3.0 credit hours 1.0
DANCE 484R - Ballroom Dnc, Intl Tech 4 - You may take up to 3.0 credit hours 1.0
DANCE 485R - Latin Dance, Intl Tech 4 - You may take up to 3.0 credit hours 1.0
Requirement 4 — Complete 2 hours
DANCE288R - Bllrm Dnc Performance Beg - You may take up to 2.0 credit hours 1.0
DANCE 388R - Bllrm Dnc Performance Intrmd - You may take up to 2.0 credit hours 1.0
DANCE 399R - Academic Intrnshp: Gen'l Dance - You may take once 0.5v
DANCE 488R - Ballroom Dance Performance Co - You may take up to 2.0 credit hours 3.0v"
Biblical Hebrew (Minor),"Requirement 1 — Complete 2 Courses 
HEB 131 - 1st-Year Biblical Hebrew 4.0
HEB 132 - 1st-Year Biblical Hebrew 4.0
Requirement 2 — Complete 4 Courses 
HEB 101 - 1st-Year Modern Hebrew 1 4.0
HEB 231 - 2nd Yr Hebrew 4.0
HEB 232 - 2nd-yr Biblical Heb Narrative 4.0
HEB 432R- Ancient Hebrew Texts - You may take once 2.0
Requirement 3 — Complete 8 hours
Note: For Ne Lg 511R, choose one or more of the following--Akkadian, Aramaic, Coptic, Dead Sea Scroll, Egyptian, Syriac, Ugaritic.
ANES 363 - Hebrew Bible Studies 3.0
HEB 102 - 1st-Year Modern Hebrew 2 4.0
HEB 313 - Readings in the Old Testament 3.0
HEB 421 - Hebrew New Testmnt 3.0
HEB 432R - Ancient Hebrew Texts - You may take once 2.0
HEB 441 - Mishnah 2.0
NE LG 511R - Studies in Anc Near East Lang - You may take once 0.5v"
Business (Minor),"Requirement 1 — Complete 15 hours
ACC 200 - Principles of Accounting 3.0
ECON 110 - Econ Principles & Problems 3.0
ENT 101 - Intro to Entrepreneurship 3.0
EXDM 300 - Creating a Good Life 3.0
FIN 201 - Principles of Finance 3.0
GSCM 201 - Intro Global Supply Chain Mgt 1.5
GSCM 211 - Intro to GSCM International 1.5
HRM 300 - Organizational Behavior 3.0
IS 201 - Intro to Information Systems 3.0
MKTG 201 - Marketing Management 3.0
MSB 201 - Intro to Business 3.0
Requirement 2 — Complete 1 of 3 Courses 
FIN 487R - Capital Markets Academy - You may take once 3.0
MSB 492R - Social Impact Internship - You may take once 3.0
MSB 494R - On-Campus Experiential Project - You may take once 3.0
Requirement 3 — Complete 1 of 4 Courses 
ENT 381 - Entrep Lecture Series 1.0
ENT 382 - Tech Entrep Lecture Series 1.0
MSB 289R - Healthcare Leadership Lectures - You may take once 1.0
MSB 380 - Executive Lectures 1.0
MSB 381R - Social Impact Lectures - You may take once 1.0
Transfer equivalencies for FIN 201 and IS 201 will not be accepted."
Chemistry (Minor),"Requirement 1 — Complete 1 of 2 Options
Option 1.1 — Complete 3 Courses
CHEM 111 - Principles of Chemistry 1 4.0
CHEM 112 - Principles of Chemistry 2 3.0
CHEM 113 - Intro General Chemistry Lab 2.0
Option 1.2 — Complete 3 Courses
CHEM 105 - Gen College Chem 1+Lab Integr 4.0
CHEM 106 - General College Chemistry 2 3.0
CHEM 107 - Gen Coll Chem Lab 1.0
Requirement 2 — Complete 2 of 8 Courses
CHEM 351 - Organic Chemistry 1 3.0
CHEM 352 - Organic Chemistry 2 3.0
CHEM 357 - Industrial Organic Chemistry 3.0
CHEM 462 - Physical Chemistry 1 3.0
CHEM 463 - Physical Chemistry 2 3.0
CHEM 467 - Physical Chemistry - Engineers 3.0
CHEM 468 - Biophysical Chemistry 3.0
CHEM 481 - Biochemistry 3.0
Requirement 3 — Complete 1 Course
CHEM 201 - Chem Handling & Safe Lab Prac 0.5
Requirement 4 — Complete 2 hours
NOTE: Chem 353 may be taken for 1 or 2 credits.
CHEM 353 - Organic Chem Lab-Nonmajors 1.0v
CHEM 354 - Organic Chem Lab-Major 1.0v
CHEM 355 - Organic Lab 2 - Nonmajors 1.0
CHEM 464 - Physical Chemistry Lab 1 1.0
CHEM 465 - Physical Chemistry Lab 2 1.0
Requirement 5 — Complete 1 of 2 Courses
CHEM 227 - Principles of Chem Analysis 4.0
CHEM 455 - Synthesis & Qual Organic Analy 4.0
Note: When all of the chemistry credit required for a minor is transferred from another school, at least one course in chemistry must be taken at BYU with a grade of C or better - or the student may request to take a standardized national exam covering advanced material required for the minor. Chemistry programs at some schools have been evaluated, and their credit is acceptable for the minor."
Chemistry Education (Minor),"Licensure: This program meets the educational requirements designed to lead to an occupationally required professional license or certificate in the state of Utah. Students pursuing occupations requiring a license or certificate in a state other than Utah should contact the appropriate BYU academic advisement center as well as the licensing agency in the state where they intend to work to seek information and guidance regarding licensure and certification requirements.
This minor is designed to prepare students to teach in public schools with a level 2 chemistry endorsement. A teaching minor may only be received by students graduating with a teaching major. In order to graduate with this minor, students are required to complete Utah State Office of Education licensing requirements. To view these requirements go to https://www.schools.utah.gov/curr/licensing or contact the Education Advisement Center, 350 MCKB, 801-422-3426.
For students accepted into the major after December 16, 2019, grades below C in any required coursework in a teaching major or teaching minor will not be accepted. Teacher candidates must maintain a cumulative GPA of 2.7 or higher once admitted into the program and to qualify for student teaching. For additional details on admission and retention requirements for teaching majors and teaching minors, see Educator Preparation Program Requirements in the Undergraduate Catalog.
Requirement 1 — Complete 1 of 2 Options
Option 1.1 — Complete 3 Courses
CHEM 111 - Principles of Chemistry 1 4.0
CHEM 112 - Principles of Chemistry 2 3.0
CHEM 113 - Intro General Chemistry Lab 2.0
Option 1.2 — Complete 3 Courses
CHEM 105 - Gen College Chem 1+Lab Integr 4.0
CHEM 106 - General College Chemistry 2 3.0
CHEM 107 - Gen Coll Chem Lab 1.0
Requirement 2 — Complete 2 Courses
CHEM 201 - Chem Handling & Safe Lab Prac 0.5
CHEM 227 - Principles of Chem Analysis 4.0
Requirement 3 — Complete 3 of 10 Courses
CHEM 285 - Intro Bio-organic Chemistry 4.0
CHEM 351M - Organic Chemistry 1 - Majors 3.0
CHEM 352M - Organic Chemistry 2 - Majors 3.0
CHEM 357 - Industrial Organic Chemistry 3.0
CHEM 381M - Biochem Fundamentals 3.0
CHEM 462 - Physical Chemistry 1 3.0
CHEM 463 - Physical Chemistry 2 3.0
CHEM 467 - Physical Chemistry - Engineers 3.0
CHEM 481M - Biochemistry - Majors 3.0
CHEM 514 - Inorganic Chemistry 3.0
Requirement 4 — Complete 1 Course
PHY S 377 - Teaching Methods & Instruction 3.0
Requirement 5 — Complete 1 Course
CHEM 477R - Sec Minor Student Teaching - You may take once 4.0
Note: When all of the chemistry credit required for a minor is transferred from another school, at least one course in chemistry must be taken at BYU with a grade of C or better -- or the student may request to take a standardized national exam covering advanced material required for the minor. Chemistry programs at some schools have been evaluated, and their credit is acceptable for the minor."
Chinese (Minor),"Complete the following prerequisite courses: Chin 101, 102, 201, 202. (May be waived for students with previous language experience.)
Requirement 1 — Complete 3 Courses 
CHIN 301 - Advanced Mandarin 4.0
CHIN 302 - Advanced Mandarin 4.0
CHIN 345R - Chinese Culture - You may take once 3.0
Requirement 2 — Complete 1 of 2 Courses 
CHIN 321 - Selected Rdgs of Modern Chin 3.0
CHIN 322 - Selected Rdgs of Modern Chin 3.0
Requirement 3 — Complete 1 of 3 Courses 
CHIN 342 - Chinese Film in Translation 3.0
CHIN 343 - Chin Lit inTranslation--Poetry 3.0
CHIN 344 - Chin Lit inTranslation-Prose 3.0
Requirement 4 — Complete 1 Course 
CHIN 311R - Advanced Conversation - You may take once 1.0v
CHIN 321 - Selected Rdgs of Modern Chin 3.0
CHIN 322 - Selected Rdgs of Modern Chin 3.0
CHIN 325 - Structure of Chinese 3.0
CHIN 326 - Intro to Chinese Linguistics 3.0
CHIN 327 - Translation & Interpretation 3.0
CHIN 342 - Chinese Film in Translation 3.0
CHIN 343 - Chin Lit inTranslation--Poetry 3.0
CHIN 344 - Chin Lit inTranslation-Prose 3.0
CHIN 346 - Chinese Philosophy 3.0
CHIN 347 - Business Chinese 3.0
CHIN 377 - Chin Lang Tchg Procedures 3.0
CHIN 399R - Academic Internship - You may take once 0.5v
CHIN 411 - Speaking & Listening Mastery 2.0
CHIN 441 - Classical & Literary Chinese 3.0
CHIN 442 - Classical & Literary Chinese 3.0
CHIN 443 - Modern Chinese Literature 3.0
CHIN 444 - Contemporary Chinese Liter 3.0
CHIN 445R - Chinese Poetry - You may take once 3.0
CHIN 477R - Sec Minor Student Teaching - You may take once 4.0
CHIN 490R - Individual Study in Chinese - You may take once 0.5v
CHIN 495 - Senior Seminar for Majors 2.0
CHIN 599R - Academic Internship - You may take once 0.5v"
Chinese Teaching (Minor),"Licensure: This program meets the educational requirements designed to lead to an occupationally required professional license or certificate in the state of Utah. Students pursuing occupations requiring a license or certificate in a state other than Utah should contact the appropriate BYU academic advisement center as well as the licensing agency in the state where they intend to work to seek information and guidance regarding licensure and certification requirements.
This minor is designed to prepare students to teach in public schools. A teaching minor may only be received by students graduating with a teaching major. In order to graduate with this minor, students are required to complete Utah State Office of Education licensing requirements. To view these requirements go to https://www.schools.utah.gov/curr/licensing or contact the Education Advisement Center, 350 MCKB, 801-422-3426.
For students accepted into the major after December 16, 2019, grades below C in any required coursework in a teaching major or teaching minor will not be accepted. Teacher candidates must maintain a cumulative GPA of 2.7 or higher once admitted into the program and to qualify for student teaching. For additional details on admission and retention requirements for teaching majors and teaching minors, see Educator Preparation Program Requirements in the Undergraduate Catalog.
Complete the following prerequisite courses: Chin 101, 102, 201, 202. (May be waived for students with previous language experience.)
Requirement 1 — Complete 5 Courses 
CHIN 301 - Advanced Mandarin 4.0
CHIN 302 - Advanced Mandarin 4.0
CHIN 326 - Intro to Chinese Linguistics 3.0
CHIN 345R - Chinese Culture - You may take once 3.0
CHIN 377 - Chin Lang Tchg Procedures 3.0
Requirement 2 — Complete 1 of 2 Courses 
CHIN 321 - Selected Rdgs of Modern Chin 3.0
CHIN 322 - Selected Rdgs of Modern Chin 3.0
Requirement 3 — Complete 1 of 2 Courses 
CHIN 443 - Modern Chinese Literature 3.0
CHIN 444 - Contemporary Chinese Liter 3.0
Requirement 4 — Complete 1 Course 
CHIN 477R - Sec Minor Student Teaching - You may take once 4.0
Requirement 5 — Obtain confirmation from your advisement center that you have completed the following: 
Before applying to student teach in the major, complete the Oral Proficiency Interview (OPI) examination with a minimum level of ""Advanced-Low"" in order to be granted Utah state licensure."
Civic Engagement Leadership (Minor),"Requirement 1 — Complete 2 Courses 
FHSS 300 - Leadership Projects 2.0
FHSS 400 - Civic Engage Leadership 3.0
Requirement 2 — Complete 13 hours
Complete 13 credit hours from the following (3.0 credit hours must be outside your major). Note: Only 3 credit hours of internship may be used toward fulfilling this requirement. Note: Hlth 431 and 439 are options only for Public Health students. Course electives not listed but with significant civic engagement content may also be counted with approval from the Director of Civic Engagement.
AM ST 399R - Academic Internship - You may take up to 3.0 credit hours 0.5v
ANTHR 311 - Museums & Culturesb3.0
ANTHR 247 - Applied Anthropology 3.0
ANTHR 490R - Special Topics in Anthropology - You may take once 0.5v
ANTHR 495R - Ethnographic Field Project - You may take once 3.0v
BIO 194 - Intro to Mentored Research 0.5
BIO 370 - Bioethics 2.0
BIO 399R - Academic Internship - You may take once 0.5v
BIO 450 - Capstone in Biodiversity & Con 3.0
BIO 494R - Plant Biology - You may take once 1.0v
CCE 102 - Sustainable Infrastructure 3.0
CE 361 - Intro to Transportation Engr 3.0
CE 565 - Urban Transportation Planning 3.0
COMMS 304 - Media Ethics 3.0
COMMS 382 - Issues in Global Communication 3.0
COMMS 399R - Academic Internship - You may take once 1.0
COMMS 416 - Media Advocacy & Social Change 3.0
COMMS 436 - PR Strategy 3.0
COMMS 481 - Gender, Race, & Class in Media 3.0
COMMS 485 - PR Campaigns 3.0
ECON 381 - Intermed Macroeconomics 3.0
ECON 431 - Economic Development 3.0
ECON 432 - Economic Growth 3.0
ECON 440 - Natrl Resources & Envir Econ 3.0
ECON 461 - Economics of Education 3.0
ECON 463 - Economics of the Labor Market 3.0
ECON 465 - Health Economics 3.0
ECON 468 - Urban Economics 3.0
ECON 477 - Political Economics 3.0
EXDM 300 - Creating a Good Life 3.0
EXDM 418 - Div, Equ, & Incl in ExDM 3.0
FHSS 200 - Intro Civic Engage Leadership 1.0
FHSS 351 - Civil Rights Seminar 3.0
FHSS 399R - Civic Engagement Internship - You may take once 1.0v
GEOG 306 - Public Lands: Planning & Mgmt 3.0
GEOG 210 - Intro to City Planning 3.0
GEOG 336 - Geog Urban Environ 3.0
GEOG 341 - Political Geography 3.0
GEOG 399R - Academic Internship - You may take up to 3.0 credit hours 0.5v
GEOG 410 - Urban Planning Methods 3.0
GEOG 422 - Urban Design 2.0
GEOG 424 - Urban Transportation Planning 3.0
GEOG 510 - Professional Planning Studio 3.0
HCOLL 399R - Professional Internship - You may take up to 3.0 credit hours 0.5v
HIST 309 - Euro Revolutions Since 1500 3.0
HIST 336 - S Africa Liberation 3.0
HIST 362 - US Immigration History 3.0
HIST 367 - Slavery in the U.S. 3.0
HIST 383 - African-Am Hist since 1865 3.0
HIST 385 - Latinos in the United States 3.0
HIST 386 - Am Indian Hist to 1877 3.0
HIST 387 - Am Indian Hist 1877-present 3.0
HIST 392 - US Constitutnl His 3.0
HLTH 316 - Health Systems and Policy 3.0
HLTH 322 - Environmental Health 3.0
HLTH 413 - Refugee & Migrant Health 3.0
HLTH 420 - Injury & Violence Prevention 3.0
HLTH 422 - Disaster Response & Emer Prep 3.0
HLTH 431 - Hlth Comm and Advocacy 3.0
HLTH 450 - Women's Health 3.0
HLTH 480 - International Health 3.0
HLTH 494 - Program Planning Capstone 3.0
MSB 375 - Social Impact 3.0
MSB 376 - Social Impact: Leveraging Orgs 3.0
MSB 377 - Design Thinking- Social Impact 3.0
MSB 378 - Evaluating Social Impact 3.0
MSB 492R - Social Impact Projects - You may take once 3.0
POLI 311 - State Govt & Politics 3.0
POLI 312 - American Judicial Politics 3.0
POLI 313 - Interest Groups 3.0
POLI 314 - U S Presidency 3.0
POLI 315 - Congress & Legislative Process 3.0
POLI 316 - American Political Parties 3.0
POLI 317 - Pub Opinion & Voting Behavior 3.0v
POLI 318 - Campaigns & Elections 3.0
POLI 322 - Urban and Local Politics 3.0
POLI 323 - Race, Ethnicity, and Gender 3.0
POLI 325 - Pol of Wilds, Parks, & Lands 3.0
POLI 342 - Gender and Politics 3.0
POLI 345 - Comp. Parties and Elections 3.0
POLI 391 - Adv Seminar on Current Issues 3.0
POLI 398 - Speaker Series on Careers 1.0
POLI 399R - Congress Internship - You may take up to 3.0 credit hours 0.5v
POLI 472 - Intrnl Political Econ of Women 3.0
PSYCH 305 - Multicultural Psychology 3.0
PSYCH 306 - Psychology of Gender 3.0
PSYCH 330 - Organizational Psychology 3.0
PSYCH 358 - Leadership Development 3.0
PSYCH 399R - Academic Internship - You may take up to 3.0 credit hours 0.5v
PSYCH 420R - Senior Practicum: Projects 3.0
PWS 180 - Global Climate Change 3.0
SFL 333 - Adolescent Dev in Fam & Soc 3.0
SFL 345 - Family Life in World Religions 3.0
SFL 354 - Cross-Cultural Fam & Hum Dev 3.0
SFL 358 - Media, Fam & Human Dev 3.0
SFL 399R - Academic Internship - You may take up to 3.0 credit hours 1.0v
SFL 489 - Family & Public Policy 3.0
SFL 498 - FLE: Theory,Rsch & Practice 3.0
SOC 322 - Class Inequality 3.0
SOC 323 - Sociology of Race & Ethnicity 3.0
SOC 340 - Soc of International Develpmnt 3.0
SOC 367 - Soc of Gender 3.0
SOC 370 - Urban Sociology 3.0
SOC 399R - Academic Internship - You may take up to 3.0 credit hours 1.0v
SOC 422 - Inequality & Society 3.0
SOC 528 - Sociology of Rural Communities 3.0
SOC W 200 - Intro to Social Work 3.0
SOC W 331 - Social Welfare Policy 3.0
SOC W 360 - Social Wk Practice/Individuals 3.0
STDEV 290 - Learning Through Service 1.0"
Classical Studies (Greek option) (Minor),"Requirement 1 — Complete 16 hours
GREEK from: 201 to: 499
Requirement 2 — Complete 6 hours
CL CV from: 100 to: 499
CLSCS from: 100 to: 499
GREEK from: 100 to: 499
Note: Greek 411R may be taken only once."
Classical Studies (Latin option) (Minor),"Requirement 1 — Complete 16 hours
LATIN from: 201 to: 499
Requirement 2 — Complete 6 hours
CL CV from: 100 to: 499
CLSCS from: 100 to: 499
LATIN from: 121 to: 499
Note: Latin 411R may be taken only once."
Communications (Minor),"Requirement 1 — Complete 1 Course
COMMS 101 - Mass Comm & Soc 3.0
Requirement 2 — Complete 12 hours
COMMS 230 - Intro Advertising 3.0
COMMS 235 - Intro Public Reltn 3.0
COMMS 238 - Intr to Communications Studies 3.0
COMMS 239 - Intro to Storytelling 3.0
COMMS 300 - Media Law & Responsibility 3.0
COMMS 301 - Media History & Philosophy 3.0
COMMS 302 - Popular Culture & Media 3.0
COMMS 351 - Media & Their Audiences 3.0
COMMS 360 - Comm Mgt Principles & Theory 3.0
COMMS 381 - International Media Systems 3.0
COMMS 382 - Issues in Global Communication 3.0
COMMS 411- Media Effects 3.0
COMMS 416 - Media Advocacy & Social Change 3.0
COMMS 426 - Persuasion in the Media Age 3.0
COMMS 481 - Gender, Race, & Class in Media 3.0
COMMS 482 - Media and World Religions 3.0"
